store_id,product_id,inventory_month,opening_stock,stock_added,stock_sold,closing_stock
1,1,2021-01-01,492,174,278,388
1,1,2021-02-01,388,141,206,323
1,1,2021-03-01,323,227,242,308
1,1,2021-04-01,308,233,28,513
1,1,2021-05-01,513,179,621,71
1,1,2021-06-01,71,106,126,51
1,1,2021-07-01,51,62,81,32
1,1,2021-08-01,32,194,113,113
1,1,2021-09-01,113,54,156,11
1,1,2021-10-01,11,128,128,11
1,1,2021-11-01,11,275,285,1
1,1,2021-12-01,1,68,56,13
1,1,2022-01-01,13,292,67,238
1,1,2022-02-01,238,138,41,335
1,1,2022-03-01,335,48,15,368
1,1,2022-04-01,368,233,98,503
1,1,2022-05-01,503,266,145,624
1,1,2022-06-01,624,17,566,75
1,1,2022-07-01,75,262,269,68
1,1,2022-08-01,68,179,228,19
1,1,2022-09-01,19,22,30,11
1,1,2022-10-01,11,30,9,32
1,1,2022-11-01,32,120,6,146
1,1,2022-12-01,146,135,107,174
1,1,2023-01-01,174,284,429,29
1,1,2023-02-01,29,44,15,58
1,1,2023-03-01,58,84,76,66
1,1,2023-04-01,66,122,154,34
1,1,2023-05-01,34,204,15,223
1,1,2023-06-01,223,159,199,183
1,1,2023-07-01,183,186,49,320
1,1,2023-08-01,320,286,566,40
1,1,2023-09-01,40,11,19,32
1,1,2023-10-01,32,184,20,196
1,1,2023-11-01,196,10,166,40
1,1,2023-12-01,40,158,148,50
1,2,2021-01-01,452,171,57,566
1,2,2021-02-01,566,32,404,194
1,2,2021-03-01,194,8,43,159
1,2,2021-04-01,159,39,195,3
1,2,2021-05-01,3,230,187,46
1,2,2021-06-01,46,297,42,301
1,2,2021-07-01,301,258,511,48
1,2,2021-08-01,48,96,130,14
1,2,2021-09-01,14,138,18,134
1,2,2021-10-01,134,262,162,234
1,2,2021-11-01,234,46,146,134
1,2,2021-12-01,134,92,144,82
1,2,2022-01-01,82,111,32,161
1,2,2022-02-01,161,244,394,11
1,2,2022-03-01,11,195,45,161
1,2,2022-04-01,161,21,68,114
1,2,2022-05-01,114,166,96,184
1,2,2022-06-01,184,282,19,447
1,2,2022-07-01,447,290,513,224
1,2,2022-08-01,224,292,338,178
1,2,2022-09-01,178,45,139,84
1,2,2022-10-01,84,105,78,111
1,2,2022-11-01,111,71,65,117
1,2,2022-12-01,117,187,47,257
1,2,2023-01-01,257,113,302,68
1,2,2023-02-01,68,84,143,9
1,2,2023-03-01,9,221,211,19
1,2,2023-04-01,19,127,96,50
1,2,2023-05-01,50,127,106,71
1,2,2023-06-01,71,252,256,67
1,2,2023-07-01,67,266,85,248
1,2,2023-08-01,248,106,225,129
1,2,2023-09-01,129,277,157,249
1,2,2023-10-01,249,50,261,38
1,2,2023-11-01,38,48,65,21
1,2,2023-12-01,21,249,156,114
1,3,2021-01-01,169,140,195,114
1,3,2021-02-01,114,242,352,4
1,3,2021-03-01,4,293,130,167
1,3,2021-04-01,167,228,318,77
1,3,2021-05-01,77,10,58,29
1,3,2021-06-01,29,135,129,35
1,3,2021-07-01,35,248,263,20
1,3,2021-08-01,20,50,41,29
1,3,2021-09-01,29,91,61,59
1,3,2021-10-01,59,272,150,181
1,3,2021-11-01,181,26,74,133
1,3,2021-12-01,133,243,76,300
1,3,2022-01-01,300,79,165,214
1,3,2022-02-01,214,80,198,96
1,3,2022-03-01,96,253,216,133
1,3,2022-04-01,133,143,190,86
1,3,2022-05-01,86,291,188,189
1,3,2022-06-01,189,73,217,45
1,3,2022-07-01,45,102,144,3
1,3,2022-08-01,3,74,56,21
1,3,2022-09-01,21,156,79,98
1,3,2022-10-01,98,290,95,293
1,3,2022-11-01,293,102,24,371
1,3,2022-12-01,371,61,157,275
1,3,2023-01-01,275,281,187,369
1,3,2023-02-01,369,45,44,370
1,3,2023-03-01,370,141,214,297
1,3,2023-04-01,297,107,233,171
1,3,2023-05-01,171,252,421,2
1,3,2023-06-01,2,64,56,10
1,3,2023-07-01,10,162,104,68
1,3,2023-08-01,68,279,40,307
1,3,2023-09-01,307,198,475,30
1,3,2023-10-01,30,234,226,38
1,3,2023-11-01,38,73,29,82
1,3,2023-12-01,82,54,107,29
1,4,2021-01-01,383,210,499,94
1,4,2021-02-01,94,179,138,135
1,4,2021-03-01,135,255,18,372
1,4,2021-04-01,372,141,503,10
1,4,2021-05-01,10,295,27,278
1,4,2021-06-01,278,162,77,363
1,4,2021-07-01,363,66,257,172
1,4,2021-08-01,172,54,127,99
1,4,2021-09-01,99,51,66,84
1,4,2021-10-01,84,156,7,233
1,4,2021-11-01,233,203,117,319
1,4,2021-12-01,319,277,47,549
1,4,2022-01-01,549,97,575,71
1,4,2022-02-01,71,51,5,117
1,4,2022-03-01,117,11,70,58
1,4,2022-04-01,58,168,189,37
1,4,2022-05-01,37,103,59,81
1,4,2022-06-01,81,292,258,115
1,4,2022-07-01,115,167,255,27
1,4,2022-08-01,27,110,5,132
1,4,2022-09-01,132,242,286,88
1,4,2022-10-01,88,73,83,78
1,4,2022-11-01,78,297,114,261
1,4,2022-12-01,261,193,433,21
1,4,2023-01-01,21,36,42,15
1,4,2023-02-01,15,78,49,44
1,4,2023-03-01,44,230,232,42
1,4,2023-04-01,42,36,40,38
1,4,2023-05-01,38,205,40,203
1,4,2023-06-01,203,175,101,277
1,4,2023-07-01,277,102,134,245
1,4,2023-08-01,245,135,248,132
1,4,2023-09-01,132,117,183,66
1,4,2023-10-01,66,101,110,57
1,4,2023-11-01,57,259,151,165
1,4,2023-12-01,165,265,88,342
1,5,2021-01-01,441,55,436,60
1,5,2021-02-01,60,124,42,142
1,5,2021-03-01,142,5,3,144
1,5,2021-04-01,144,126,153,117
1,5,2021-05-01,117,133,24,226
1,5,2021-06-01,226,244,327,143
1,5,2021-07-01,143,226,118,251
1,5,2021-08-01,251,283,356,178
1,5,2021-09-01,178,173,258,93
1,5,2021-10-01,93,25,112,6
1,5,2021-11-01,6,85,67,24
1,5,2021-12-01,24,155,51,128
1,5,2022-01-01,128,261,244,145
1,5,2022-02-01,145,270,393,22
1,5,2022-03-01,22,42,62,2
1,5,2022-04-01,2,83,65,20
1,5,2022-05-01,20,122,141,1
1,5,2022-06-01,1,6,4,3
1,5,2022-07-01,3,142,81,64
1,5,2022-08-01,64,246,196,114
1,5,2022-09-01,114,143,130,127
1,5,2022-10-01,127,205,252,80
1,5,2022-11-01,80,88,130,38
1,5,2022-12-01,38,73,32,79
1,5,2023-01-01,79,245,93,231
1,5,2023-02-01,231,293,195,329
1,5,2023-03-01,329,261,522,68
1,5,2023-04-01,68,284,14,338
1,5,2023-05-01,338,123,431,30
1,5,2023-06-01,30,6,10,26
1,5,2023-07-01,26,181,183,24
1,5,2023-08-01,24,27,35,16
1,5,2023-09-01,16,20,4,32
1,5,2023-10-01,32,135,88,79
1,5,2023-11-01,79,213,189,103
1,5,2023-12-01,103,99,44,158
1,6,2021-01-01,88,296,86,298
1,6,2021-02-01,298,231,198,331
1,6,2021-03-01,331,274,377,228
1,6,2021-04-01,228,103,84,247
1,6,2021-05-01,247,205,238,214
1,6,2021-06-01,214,159,183,190
1,6,2021-07-01,190,59,127,122
1,6,2021-08-01,122,156,158,120
1,6,2021-09-01,120,16,129,7
1,6,2021-10-01,7,98,21,84
1,6,2021-11-01,84,221,239,66
1,6,2021-12-01,66,104,83,87
1,6,2022-01-01,87,82,135,34
1,6,2022-02-01,34,78,90,22
1,6,2022-03-01,22,131,138,15
1,6,2022-04-01,15,212,178,49
1,6,2022-05-01,49,137,176,10
1,6,2022-06-01,10,288,234,64
1,6,2022-07-01,64,51,31,84
1,6,2022-08-01,84,34,91,27
1,6,2022-09-01,27,195,98,124
1,6,2022-10-01,124,66,28,162
1,6,2022-11-01,162,109,196,75
1,6,2022-12-01,75,201,200,76
1,6,2023-01-01,76,7,26,57
1,6,2023-02-01,57,136,122,71
1,6,2023-03-01,71,236,306,1
1,6,2023-04-01,1,134,30,105
1,6,2023-05-01,105,29,33,101
1,6,2023-06-01,101,188,134,155
1,6,2023-07-01,155,36,52,139
1,6,2023-08-01,139,10,140,9
1,6,2023-09-01,9,8,10,7
1,6,2023-10-01,7,34,26,15
1,6,2023-11-01,15,24,4,35
1,6,2023-12-01,35,165,70,130
1,7,2021-01-01,436,71,115,392
1,7,2021-02-01,392,228,228,392
1,7,2021-03-01,392,251,103,540
1,7,2021-04-01,540,85,138,487
1,7,2021-05-01,487,75,319,243
1,7,2021-06-01,243,90,50,283
1,7,2021-07-01,283,200,293,190
1,7,2021-08-01,190,136,205,121
1,7,2021-09-01,121,277,336,62
1,7,2021-10-01,62,219,274,7
1,7,2021-11-01,7,241,68,180
1,7,2021-12-01,180,252,12,420
1,7,2022-01-01,420,44,110,354
1,7,2022-02-01,354,174,274,254
1,7,2022-03-01,254,160,278,136
1,7,2022-04-01,136,66,151,51
1,7,2022-05-01,51,126,96,81
1,7,2022-06-01,81,19,42,58
1,7,2022-07-01,58,134,166,26
1,7,2022-08-01,26,281,230,77
1,7,2022-09-01,77,143,191,29
1,7,2022-10-01,29,200,107,122
1,7,2022-11-01,122,37,119,40
1,7,2022-12-01,40,286,146,180
1,7,2023-01-01,180,299,20,459
1,7,2023-02-01,459,21,258,222
1,7,2023-03-01,222,123,266,79
1,7,2023-04-01,79,227,302,4
1,7,2023-05-01,4,274,217,61
1,7,2023-06-01,61,23,10,74
1,7,2023-07-01,74,229,15,288
1,7,2023-08-01,288,208,388,108
1,7,2023-09-01,108,152,162,98
1,7,2023-10-01,98,37,4,131
1,7,2023-11-01,131,109,86,154
1,7,2023-12-01,154,135,197,92
1,8,2021-01-01,60,111,128,43
1,8,2021-02-01,43,112,154,1
1,8,2021-03-01,1,206,122,85
1,8,2021-04-01,85,89,77,97
1,8,2021-05-01,97,125,160,62
1,8,2021-06-01,62,97,125,34
1,8,2021-07-01,34,184,198,20
1,8,2021-08-01,20,14,16,18
1,8,2021-09-01,18,178,172,24
1,8,2021-10-01,24,185,134,75
1,8,2021-11-01,75,120,159,36
1,8,2021-12-01,36,117,52,101
