sale_id,store_id,product_id,customer_id,quantity,price,discount,sale_date
1,10,63,C1804,3,38,10,2021-06-25 08:22:25
2,5,70,C1352,1,157,10,2021-04-28 04:48:51
3,14,3,C1602,5,159,20,2022-01-04 23:36:19
4,11,34,C980,2,250,20,2022-06-19 12:18:42
5,12,87,C1842,3,477,10,2021-02-23 11:02:13
6,4,53,C1312,1,272,5,2023-08-01 11:50:48
7,7,27,C1036,2,397,5,2022-10-22 23:25:38
8,4,89,C1374,2,396,0,2022-06-03 17:46:06
9,6,8,C954,4,159,10,2023-10-29 19:17:59
10,3,60,C293,1,116,5,2022-08-10 02:14:53
11,11,81,C517,5,122,15,2023-03-08 08:34:09
12,15,82,C536,4,272,0,2022-07-17 17:24:12
13,1,75,C831,4,109,20,2022-01-03 05:08:57
14,8,50,C1540,2,136,15,2023-05-02 08:05:53
15,4,66,C495,2,163,0,2022-03-10 01:14:15
16,5,44,C292,4,159,20,2021-08-18 20:56:58
17,10,84,C1770,5,122,5,2021-12-21 20:01:02
18,7,5,C521,5,325,10,2022-02-12 00:12:56
19,8,71,C98,4,245,0,2022-12-18 23:33:32
20,8,22,C1954,4,60,20,2022-11-12 03:37:39
21,9,33,C22,2,176,20,2021-04-07 17:08:26
22,1,40,C132,3,119,10,2022-11-14 23:54:36
23,14,71,C1709,3,240,0,2021-03-05 01:59:53
24,5,81,C782,3,176,10,2021-06-21 04:27:16
25,13,51,C389,4,335,10,2022-12-26 03:21:01
26,12,41,C688,4,153,10,2022-05-29 21:47:50
27,1,69,C724,5,153,0,2022-11-26 21:17:39
28,1,66,C3,1,396,0,2023-09-28 10:33:25
29,12,20,C643,2,450,20,2022-07-31 07:26:31
30,4,100,C325,2,21,0,2023-03-11 16:13:43
31,3,68,C575,4,493,15,2022-12-10 21:25:50
32,13,87,C1161,5,337,0,2022-10-16 13:41:10
33,8,87,C618,3,60,10,2022-05-22 17:13:01
34,9,9,C1716,2,136,10,2022-10-20 23:36:18
35,13,55,C929,5,22,10,2022-10-26 09:12:05
36,11,76,C80,2,300,5,2023-07-14 21:55:56
37,8,85,C36,2,53,5,2021-01-06 01:44:28
38,11,45,C134,2,187,0,2021-07-06 22:59:11
39,14,3,C268,1,487,15,2023-06-02 04:35:57
40,14,14,C1551,4,337,5,2023-08-05 19:39:58
41,6,53,C1667,2,39,20,2023-01-02 09:51:26
42,1,40,C944,2,388,5,2022-04-26 08:51:33
43,4,49,C535,1,364,20,2022-02-06 05:24:41
44,14,60,C556,5,388,5,2021-02-23 05:32:24
45,7,71,C1722,4,450,5,2021-11-07 05:42:28
46,7,80,C1484,4,493,0,2021-03-19 23:56:43
47,5,41,C907,2,39,20,2021-12-08 07:25:44
48,12,80,C1052,4,310,10,2023-09-20 00:25:07
49,4,12,C1062,4,21,10,2022-02-04 17:13:26
50,14,80,C932,1,187,5,2021-01-20 03:21:28
51,12,69,C1891,1,149,5,2021-04-17 13:43:27
52,15,32,C281,2,120,5,2022-07-01 13:17:40
53,10,6,C1551,2,152,0,2021-11-08 07:28:19
54,13,82,C1809,5,435,20,2022-01-20 22:13:49
55,5,62,C99,4,335,10,2021-07-30 14:15:05
56,2,68,C916,1,318,15,2022-03-12 19:54:31
57,6,49,C130,2,119,10,2021-01-28 17:19:44
58,13,50,C1590,4,337,10,2022-06-10 13:46:57
59,13,63,C1374,4,409,15,2021-03-03 00:11:44
60,13,95,C266,5,401,5,2023-01-01 08:02:00
61,3,25,C677,3,286,10,2023-01-29 16:26:35
62,9,59,C608,2,31,20,2021-06-26 04:12:08
63,7,48,C1860,4,305,20,2022-11-27 04:02:00
64,2,18,C687,4,401,15,2022-10-07 20:11:48
65,10,86,C1710,5,38,0,2023-10-19 14:13:31
66,2,86,C780,4,422,5,2021-07-23 06:41:50
67,4,27,C1933,4,412,15,2021-12-22 19:32:29
68,8,96,C1541,3,227,10,2022-05-03 22:09:15
69,14,53,C310,5,152,15,2023-01-26 12:32:50
70,6,29,C473,4,403,5,2023-08-10 00:11:59
71,11,10,C234,1,272,20,2021-03-30 14:02:43
72,9,73,C121,2,74,0,2023-05-30 19:47:15
73,2,84,C598,4,335,20,2022-02-10 16:14:15
74,12,7,C1104,3,152,10,2021-06-25 04:38:20
75,6,57,C1905,5,412,5,2023-09-06 00:03:44
76,11,14,C215,5,50,20,2021-11-05 21:23:21
77,10,10,C725,2,120,0,2022-10-13 17:50:06
78,14,21,C948,4,119,0,2021-12-03 03:39:57
79,10,74,C418,5,391,0,2021-07-07 05:52:29
80,12,77,C1000,1,240,15,2022-01-22 21:42:13
81,12,95,C1821,3,74,5,2022-03-17 01:22:40
82,10,74,C666,1,397,5,2023-06-27 13:56:26
83,9,55,C1557,4,487,10,2023-08-06 14:51:16
84,6,57,C1552,1,152,0,2023-10-10 05:47:48
85,6,77,C505,5,119,10,2023-02-15 06:38:23
86,14,64,C1215,5,152,10,2023-08-25 23:58:00
87,9,91,C212,2,322,20,2022-07-28 22:25:37
88,12,35,C119,4,149,15,2022-12-23 21:44:37
89,6,10,C1727,2,153,5,2021-07-24 19:56:46
90,3,18,C1568,4,122,10,2023-08-14 21:41:44
91,14,96,C573,4,308,15,2021-03-10 10:03:42
92,4,99,C665,1,60,15,2023-02-04 08:59:34
93,15,90,C513,5,136,0,2021-02-21 00:14:45
94,10,12,C839,3,497,10,2022-01-31 13:39:48
95,1,55,C1000,1,60,0,2021-02-05 22:39:56
96,8,9,C1272,1,116,20,2023-10-10 20:28:40
97,15,69,C339,1,38,0,2023-05-02 02:02:08
98,10,20,C1415,4,391,15,2021-01-02 11:01:07
99,8,75,C1186,4,318,20,2022-12-21 07:11:16
100,2,100,C19,1,57,20,2021-07-15 01:20:20
101,14,76,C192,1,106,0,2023-02-19 12:29:33
102,11,62,C613,5,306,10,2022-09-01 06:42:43
103,13,80,C1678,5,322,5,2022-11-11 05:07:20
104,10,16,C970,2,391,10,2023-01-30 04:21:34
105,4,67,C1105,2,497,10,2022-07-30 02:20:57
106,7,43,C197,5,163,20,2023-04-05 02:14:12
107,3,4,C1167,1,153,15,2021-03-03 21:01:51
108,9,20,C172,2,391,0,2021-07-31 06:52:23
109,11,86,C693,1,158,5,2022-05-25 03:06:58
110,9,41,C1951,2,401,20,2021-08-07 10:52:55
111,12,28,C1342,4,310,5,2022-02-19 02:53:14
112,5,88,C1930,1,471,10,2022-12-28 10:47:20
113,6,76,C1566,2,122,0,2022-11-27 23:19:13
114,5,20,C1396,3,493,0,2022-07-29 16:33:56
115,9,41,C1664,5,369,5,2021-02-10 16:07:58
116,6,96,C1094,4,72,10,2023-05-14 07:06:35
117,5,97,C1046,4,437,15,2022-10-11 01:59:17
118,8,37,C1336,1,53,20,2023-02-27 01:50:52
119,13,84,C1300,2,435,0,2023-08-26 20:55:41
120,12,98,C1460,4,106,5,2023-07-04 12:33:16
