sale_id,store_id,product_id,customer_id,quantity,price,discount,sale_date,revenue
1,10,63,C1804,3,38,14.04,2021-06-25 08:22:25,102.60000000000001
2,5,70,C1352,1,157,17.37,2021-04-28 04:48:51,141.3
3,14,3,C1602,5,159,0.29,2022-01-04 23:36:19,636.0
4,11,34,C980,2,250,16.95,2022-06-19 12:18:42,400.0
5,12,87,C1842,3,477,10.02,2021-02-23 11:02:13,1287.9
6,4,53,C1312,1,272,3.94,2023-08-01 11:50:48,258.4
7,7,27,C1036,2,397,9.8,2022-10-22 23:25:38,754.3
8,4,89,C1374,2,396,11.82,2022-06-03 17:46:06,792.0
9,6,8,C954,4,159,6.73,2023-10-29 19:17:59,572.4
10,3,60,C293,1,116,10.28,2022-08-10 02:14:53,110.19999999999999
11,11,81,C517,5,122,12.4,2023-03-08 08:34:09,518.5
12,15,82,C536,4,272,13.46,2022-07-17 17:24:12,1088.0
13,1,75,C831,4,109,8.6,2022-01-03 05:08:57,348.8
14,8,50,C1540,2,136,5.05,2023-05-02 08:05:53,231.2
15,4,66,C495,2,163,9.9,2022-03-10 01:14:15,326.0
16,5,44,C292,4,159,17.03,2021-08-18 20:56:58,508.8
17,10,84,C1770,5,122,10.97,2021-12-21 20:01:02,579.5
18,7,5,C521,5,325,13.42,2022-02-12 00:12:56,1462.5
19,8,71,C98,4,245,9.77,2022-12-18 23:33:32,980.0
20,8,22,C1954,4,60,13.82,2022-11-12 03:37:39,192.0
21,9,33,C22,2,176,1.18,2021-04-07 17:08:26,281.6
22,1,40,C132,3,119,7.24,2022-11-14 23:54:36,321.3
23,14,71,C1709,3,240,14.31,2021-03-05 01:59:53,720.0
24,5,81,C782,3,176,12.0,2021-06-21 04:27:16,475.2
25,13,51,C389,4,335,9.55,2022-12-26 03:21:01,1206.0
26,12,41,C688,4,153,1.75,2022-05-29 21:47:50,550.8000000000001
27,1,69,C724,5,153,18.53,2022-11-26 21:17:39,765.0
28,1,66,C3,1,396,15.52,2023-09-28 10:33:25,396.0
29,12,20,C643,2,450,16.87,2022-07-31 07:26:31,720.0
30,4,100,C325,2,21,19.18,2023-03-11 16:13:43,42.0
31,3,68,C575,4,493,8.62,2022-12-10 21:25:50,1676.2
32,13,87,C1161,5,337,7.2,2022-10-16 13:41:10,1685.0
33,8,87,C618,3,60,14.96,2022-05-22 17:13:01,162.0
34,9,9,C1716,2,136,18.73,2022-10-20 23:36:18,244.8
35,13,55,C929,5,22,8.59,2022-10-26 09:12:05,99.0
36,11,76,C80,2,300,5.47,2023-07-14 21:55:56,570.0
37,8,85,C36,2,53,3.1,2021-01-06 01:44:28,100.69999999999999
38,11,45,C134,2,187,16.29,2021-07-06 22:59:11,374.0
39,14,3,C268,1,487,16.7,2023-06-02 04:35:57,413.95
40,14,14,C1551,4,337,7.0,2023-08-05 19:39:58,1280.6
41,6,53,C1667,2,39,12.14,2023-01-02 09:51:26,62.400000000000006
42,1,40,C944,2,388,0.15,2022-04-26 08:51:33,737.1999999999999
